sku,image_path,storage_object,status,detail
GTFM00008,DATA1_Images/GTFM00008.PIC.080623.jpg,drive-source/10a40abae9ebb3269c18/GTFM00008.PIC.080623.jpg,UPLOADED,https://cyacvmjkqgnbihivsrtf.supabase.co/storage/v1/object/public/parts-images/drive-source/10a40abae9ebb3269c18/GTFM00008.PIC.080623.jpg?v=10a40abae9ebb3269c18
GTFM00009,DATA1_Images/GTFM00009.PIC.080645.jpg,drive-source/59769ba867ff603bb6aa/GTFM00009.PIC.080645.jpg,UPLOADED,https://cyacvmjkqgnbihivsrtf.supabase.co/storage/v1/object/public/parts-images/drive-source/59769ba867ff603bb6aa/GTFM00009.PIC.080645.jpg?v=59769ba867ff603bb6aa
GTFM00010,DATA1_Images/GTFM00010.PIC.080318.jpg,drive-source/54dce274d06e4696534f/GTFM00010.PIC.080318.jpg,UPLOADED,https://cyacvmjkqgnbihivsrtf.supabase.co/storage/v1/object/public/parts-images/drive-source/54dce274d06e4696534f/GTFM00010.PIC.080318.jpg?v=54dce274d06e4696534f
GTFM00011,DATA1_Images/GTFM00011.PIC.080254.jpg,drive-source/2d7a5747c46f3a108c09/GTFM00011.PIC.080254.jpg,UPLOADED,https://cyacvmjkqgnbihivsrtf.supabase.co/storage/v1/object/public/parts-images/drive-source/2d7a5747c46f3a108c09/GTFM00011.PIC.080254.jpg?v=2d7a5747c46f3a108c09
GTFM00012,DATA1_Images/GTFM00012.PIC.080246.jpg,drive-source/aff8d6a7f95f270b4882/GTFM00012.PIC.080246.jpg,UPLOADED,https://cyacvmjkqgnbihivsrtf.supabase.co/storage/v1/object/public/parts-images/drive-source/aff8d6a7f95f270b4882/GTFM00012.PIC.080246.jpg?v=aff8d6a7f95f270b4882
GTFM00013,DATA1_Images/GTFM00013.PIC.080225.jpg,drive-source/1b543af15a975644522e/GTFM00013.PIC.080225.jpg,UPLOADED,https://cyacvmjkqgnbihivsrtf.supabase.co/storage/v1/object/public/parts-images/drive-source/1b543af15a975644522e/GTFM00013.PIC.080225.jpg?v=1b543af15a975644522e
GTFM00014,DATA1_Images/GTFM00014.PIC.080140.jpg,drive-source/e2f1713ff2bca2707a5a/GTFM00014.PIC.080140.jpg,UPLOADED,https://cyacvmjkqgnbihivsrtf.supabase.co/storage/v1/object/public/parts-images/drive-source/e2f1713ff2bca2707a5a/GTFM00014.PIC.080140.jpg?v=e2f1713ff2bca2707a5a
GTFM00015,DATA1_Images/GTFM00015.PIC.080203.jpg,drive-source/030f11480fc328af4457/GTFM00015.PIC.080203.jpg,UPLOADED,https://cyacvmjkqgnbihivsrtf.supabase.co/storage/v1/object/public/parts-images/drive-source/030f11480fc328af4457/GTFM00015.PIC.080203.jpg?v=030f11480fc328af4457
GTRM00001,DATA1_Images/GTRM00001.PIC.092532.jpg,drive-source/bf9c19e6644ff64cce27/GTRM00001.PIC.092532.jpg,UPLOADED,https://cyacvmjkqgnbihivsrtf.supabase.co/storage/v1/object/public/parts-images/drive-source/bf9c19e6644ff64cce27/GTRM00001.PIC.092532.jpg?v=bf9c19e6644ff64cce27
GTRM00002,DATA1_Images/GTRM00002.PIC.092405.jpg,drive-source/65712cf6f75facf8091e/GTRM00002.PIC.092405.jpg,UPLOADED,https://cyacvmjkqgnbihivsrtf.supabase.co/storage/v1/object/public/parts-images/drive-source/65712cf6f75facf8091e/GTRM00002.PIC.092405.jpg?v=65712cf6f75facf8091e
GTRM00003,DATA1_Images/GTRM00003.PIC.092628.jpg,drive-source/5eb2632969e0fbc25055/GTRM00003.PIC.092628.jpg,UPLOADED,https://cyacvmjkqgnbihivsrtf.supabase.co/storage/v1/object/public/parts-images/drive-source/5eb2632969e0fbc25055/GTRM00003.PIC.092628.jpg?v=5eb2632969e0fbc25055
GTRM00005,DATA1_Images/GTRM00005.PIC.092746.jpg,drive-source/63426b78cf9d4f36d6b8/GTRM00005.PIC.092746.jpg,UPLOADED,https://cyacvmjkqgnbihivsrtf.supabase.co/storage/v1/object/public/parts-images/drive-source/63426b78cf9d4f36d6b8/GTRM00005.PIC.092746.jpg?v=63426b78cf9d4f36d6b8
GTRM00006,DATA1_Images/GTRM00006.PIC.092853.jpg,drive-source/893a62955836efe09fda/GTRM00006.PIC.092853.jpg,UPLOADED,https://cyacvmjkqgnbihivsrtf.supabase.co/storage/v1/object/public/parts-images/drive-source/893a62955836efe09fda/GTRM00006.PIC.092853.jpg?v=893a62955836efe09fda
GTRM00007,DATA1_Images/GTRM00007.PIC.092915.jpg,drive-source/16c1d118f16521f5c749/GTRM00007.PIC.092915.jpg,UPLOADED,https://cyacvmjkqgnbihivsrtf.supabase.co/storage/v1/object/public/parts-images/drive-source/16c1d118f16521f5c749/GTRM00007.PIC.092915.jpg?v=16c1d118f16521f5c749
