reference_code,category,suggested_action,decision,target_current_code,result_code_type,note
MPA-15,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
MPA-16,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
MPA-17,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
MPA-18,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
MPA-19,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
MPA-20,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
MPA-22,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
MPA-25,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
MPA-LINE,LINE,LINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
MPI-01,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
OGM-01,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
OGM-02,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
OGM-03,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
OGM-04,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
OGM-05,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
OGM-06,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
OGM-08,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
OGM-LINE,LINE,LINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
OVN-02,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
OVN-04,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
OVN-06,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
OVN-07,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
OVN-08,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
OVN-09,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
OVN-10,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
OVN-11,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
OVN-LINE,LINE,LINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
PAK-01,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
PJT-02,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
PJT-03,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
PJT-04,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
PJT-05,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
PRS-01,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
PRS-02,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
PRS-03,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
PRS-05,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
PST-01,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
PVD,OTHER,REVIEW,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
PVD-01,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
PVD-02,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
PVD-LINE,LINE,LINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
RLP-01,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
RLP-02,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
RLP-03,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
RLP-04,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
RLP-05,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
RLP-06,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
RLP-07,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
RLP-08,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
RLP-09,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
RLP-10,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
RLP-11,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
RLP-12,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
RLP-13,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
RLP-16,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
RLP-17,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
RLP-LINE,LINE,LINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
RLP03B,OTHER,REVIEW,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
RLS,OTHER,REVIEW,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
RLS-02,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
RLS-03,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
RLS-05,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
RLS-06,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
RLS-LINE,LINE,LINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
RLS-NEW,IRREGULAR,REVIEW,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
RMH-01,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
RMH-02,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
RMH-03,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
RMH-07,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
RMH-08,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
RMH-09,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
RMH-10,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
RMH-11,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
RMH-12,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
RMH-13,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
RMH-15,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
RMH-16,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
RNM-02,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
RPC-01,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
RPC-02,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
RPC-06,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
RSM-01,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
SBM-01,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
SBM-02,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
SBM-04,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
SBM-07,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
SBM-LINE,LINE,LINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
SBT-01,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
SBT-03,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
