reference_code,category,suggested_action,decision,target_current_code,result_code_type,note
TDR-02,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
TDR-03,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
TDR-04,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
TDR-05,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
TEF-01,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
TEF-LINE,LINE,LINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
THB-03,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
THB-04,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
THB-05,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
THB-06,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
THB-07,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
THB-08,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
THB-09,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
THB-10,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
THB-12,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
THB-16,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
THB-LINE,LINE,LINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
THG-09,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
THM-07,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
TNG-01,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
TNG-03,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
TNG-04,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
TNG-05,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
TNG-06,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
TNG-07,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
TNG-08,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
TNG-09,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
TNG-11,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
TNG-11L,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
TNG-12,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
TNG-16,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
TNG-17,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
TNG-3,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
TOOLING,OTHER,REVIEW,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
TPG-03,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
TRM-01,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
TRM-02,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
TRM-03,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
TRM-04,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
TRM-05,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
TRM-06,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
TRM-07,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
TRM-08,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
TRM-09,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
TRM-10,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
TRM-LINE,LINE,LINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
TRM-NEW,IRREGULAR,REVIEW,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
TRQ-01,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
TRQ-02,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
TRQ-03,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
TRQ-04,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
TRQ-LINE,LINE,LINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
TTM-01,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
UGM-01,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
VCM-01,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
VMS-01,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
VSG-01,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
VSG-02,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
VSG-03,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
VSG-LINE,LINE,LINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
VSM-01,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
WCM-01,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
WSM-01,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
WSM-02,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
