machine_code,occurrences,part_count,example_parts
CHK-02,19,19,"GBR00015, GBR00040, GBR00042, GBR00043, GBR00053, GBR00063, GBR00129, GBR00247, GFTT00010, GMNT00016, GMNT00029, GOR00069, GOR00079, GOR00104, GOVL00006, GOVL00016, GPP00030, GRY00052, GSR00104"
BFD-12,19,19,"GBR00010, GBR00031-A, GBR00034, GBR00036, GBR00140, GBS00030, GBS00056, GCHUCK00008, GCNT00023, GHC00004, GMNT00001, GMT00004, GPP00037, GRY00050, GSCBIG00016, GSR00002, GSR00030, GSR00104, GVV00012"
BSM-04,19,19,"GBR00045, GBR00077, GBR00094, GBR00100, GBR00103, GBR00104, GBR00109, GBR00126, GBR00168, GBR00271, GBT00030, GCOUP00017, GFTT00064, GFTT00085, GFTT00092, GFTT00093, GLA00022, GSLN00025, GSLN00029"
SPG-03,19,19,"GBR00014, GBR00039, GBT00009, GBT00051, GBTR00003, GCHUCK00002, GCNT00021, GCTTM00002, GDWG00027, GDWG00028, GDWG00030, GDWG00033, GDWG00034, GOR00147, GOR00148, GRY00014, GRY00057, GSW00047, GSW00048"
CTG-03,18,18,"GB00093, GBTR00016, GBTR00022, GDWG00017, GDWG00047-A, GDWG00047-B, GDWG00047-C, GDWG00047-D, GDWG00047-E, GDWG00047-F, GDWG00047-G, GDWG00047-H, GDWG00047-I, GFMT00023, GFTT00146, GSCBIG00026, GSW00007, GSW00050"
SBT-06,18,18,"GB00068, GBR00010, GBR00020, GBR00061, GBS00012, GBS00051, GFMT00003, GMT00001, GMT00008, GOR00062, GPS00007, GRY00006, GRY00008, GRY00051, GSR00039, GSR00040, GSR00049, GSW00045"
IDG-08,18,18,"GAFT00028, GAFT00029, GBR00008, GBR00166, GBR00170, GBR00193, GBR00217, GBTR00016, GFTT00026, GFTT00077, GHC00004, GMNT00032, GMT00033, GMT00050, GRY00017, GSR00078, GSR00082, GSVA00008"
TDR-01,18,18,"GCTTM00025, GCTTM00033, GCTTM00035, GCTTM00037, GCTTM00041, GMNT00006, GOR00163, GOVL00016, GOVL00018, GOVL00032, GPG00011, GPP00034, GRY00014, GRY00017, GRY00059, GRY00061, GRY00064, GSR00066"
CHK-01,18,18,"GBR00005, GBR00034, GBR00053, GBTR00001, GFMT00020, GFMT00024, GFMT00032, GFTT00029, GFTT00055, GFTT00058, GFTT00079, GFTT00094, GFTT00095, GMNT00005, GPS00010, GPS00010-A, GSR00104, GSR00172"
CGM-06,18,18,"GAFT00010, GBOX00006, GBR00059, GBR00082, GBR00221, GBT00096, GCTTM00001, GCTTM00010, GFTT00044, GFTT00051, GFTT00072, GFTT00075, GFTT00076, GFTT00082, GFTT00094, GFTT00095, GSW00047, GSW00048"
THB-07,18,18,"GBR00066, GBR00268, GBR00269, GBR00270, GBT00079, GMNT00019, GMNT00029, GOR00067, GOR00076, GOVL00038, GPS00006, GSLN00107, GSR00027, GSR00076, GSR00078, GSR00082, GSW00047, GSW00048"
BFD-16,18,18,"GBOX00004, GBR00090, GBR00160, GBR00287, GBS00008, GBT00014, GBT00045, GCNT00023, GFMT00007, GMNT00001, GMNT00003, GMT00027, GMT00042, GOR00046, GOR00058, GOVL00018, GSLN00001, GSR00061"
TRM-03,18,18,"GBK00018, GBR00005, GBR00247, GBT00005, GBT00129, GDWG00049, GFMT00003, GOR00028, GSW00023, GSW00028, GTRM00001, GTRM00002, GTRM00003, GTRM00004, GTRM00005, GTRM00006, GTRM00007, GTRM00008"
CHK-07,17,17,"GAFT00002, GB00018, GB00021, GB00028, GBT00046, GFMT00004, GFMT00027, GFTT00116, GLA00037, GMNT00007, GOVL00007, GPS00007, GRY00002, GRY00004, GRY00052, GSW00007, GSW00049"
IGM-03,17,17,"GBR00006, GBR00192, GBT00080, GFMT00019, GFMT00023, GMP00004, GMP00008, GOR00035, GPG00007, GSLN00022, GSLN00026, GSLN00034, GSLN00081, GSR00016, GSR00046, GSR00076, GSW00001"
IDG-06,17,17,"GBOX00006, GBR00013, GBR00025, GBR00030, GBT00029, GBTR00003, GCNT00026, GFTT00052, GIVT00009, GRY00017, GSLN00057, GSR00029, GSR00040, GSR00041, GSR00073, GSW00015, GSW00023"
BRL-03,17,17,"GBR00279, GCNT00002, GCNT00003, GCNT00009, GCTTM00026, GDWG00006, GDWG00007, GGC00001, GIVT00017, GPS00002, GRY00035, GRY00064, GSCBIG00019, GSCBIG00020, GSW00017, GTANK00001, GTANK00002"
BRL-11,17,17,"GBOX00007, GBR00052, GBR00240, GBR00267, GBT00133, GBT00134, GCTTM00025, GFTT00046, GFTT00051, GFTT00052, GFTT00073, GFTT00095, GFTT00149, GSW00007, GTANK00005, GTANK00006, GVV00008"
CGM-11,17,17,"GBOX00007, GBR00051, GBT00102, GCNT00021, GFTT00029, GMT00008, GSR00012, GSR00013, GSR00050, GSR00059, GSR00124, GSR00125, GSR00137, GSR00152, GSR00161, GSW00004, GSW00066"
IDG-01,17,17,"GBR00067, GBR00104, GBR00199, GBR00200, GBR00232, GBR00238, GBT00101, GBTR00006, GFTT00038, GMT00034, GSR00040, GSR00042, GSR00092, GSW00002, GSW00007, GSW00015, GSW00023"
PRS-01,17,17,"GBT00006, GCNT00020, GCTTM00024, GCTTM00027, GOVL00006, GRY00019, GRY00051, GRY00058, GSLN00032, GSR00083, GSR00115, GSR00121, GSR00122, GSR00157, GSW00004, GSW00024, GSW00079"
IDG-03,17,17,"GBR00008, GBR00013, GBR00060, GBR00184, GBR00200, GBT00029, GCTTM00025, GCTTM00026, GMT00018, GRY00017, GRY00043, GRY00064, GSR00134, GSW00016, GSW00023, GSW00049, GSW00050"
MPA-06,16,16,"GAFT00023, GB00023, GBR00111, GBS00033, GCNT00021, GCOUP00009, GMT00017, GOR00069, GOR00074, GOR00095, GOR00096, GSR00009, GSR00010, GSR00062, GSR00106, GSW00066"
IGM-04,16,16,"GBR00006, GBR00050, GBR00082, GBR00169, GBR00176, GDWG00013, GFTT00066, GFTT00074, GFTT00088, GMP00004, GMP00008, GMT00013, GRY00021, GSLN00019, GSR00079, GSW00001"
MPA-02,16,16,"GBR00054, GBR00056, GBR00058, GBS00033, GCOUP00009, GFMT00019, GMT00019, GOR00032, GOR00033, GOR00046, GPP00024, GRY00051, GSLN00084, GSLN00086, GSR00062, GSR00106"
RLP-04,16,16,"GAFT00025, GBR00073, GBS00046, GFMT00004, GFMT00027, GFTT00027, GMT00045, GOR00097, GPG00001, GPS00009, GSLN00033, GSLN00038, GSLN00057, GSLN00108, GSR00034, GSW00081"
TRM-07,16,16,"GCHUCK00006, GDWG00049, GOR00030, GOR00043, GOR00071, GSLN00021, GSR00063, GSW00001, GTRM00001, GTRM00002, GTRM00003, GTRM00004, GTRM00005, GTRM00006, GTRM00007, GTRM00008"
TRM-04,16,16,"GBR00005, GBR00247, GBT00129, GBT00130, GDWG00049, GFMT00003, GSW00023, GSW00028, GTRM00001, GTRM00002, GTRM00003, GTRM00004, GTRM00005, GTRM00006, GTRM00007, GTRM00008"
TNG-08,15,15,"GAFT00010, GBT00026, GBT00062, GBTR00014, GBTR00023, GCHUCK00008, GFMT00035, GFTT00049, GFTT00116, GSLN00027, GSR00007, GSR00073, GSR00079, GSR00082, GSVA00014"
RMH-12,15,15,"GBR00105, GBR00152, GBR00197, GBR00287, GFTT00148, GFTT00170, GIVT00020, GMT00021, GPLC00009, GPLC00010, GSLN00083, GSLN00085, GSR00005, GSR00191, GSR00199"
TNG-17,15,15,"GBR00018, GBR00019, GBR00041, GBR00098, GBR00157, GBR00160, GBS00016, GBS00017, GBTR00005, GFMT00006, GFTT00151, GOR00129, GPG00010, GPP00008, GSLN00034"
RMH-02,15,15,"GBR00077, GBT00081, GFTT00123, GMNT00001, GMNT00007, GMT00021, GOR00153, GOR00154, GOR00166, GPLC00009, GSLN00083, GSLN00085, GSR00005, GSR00191, GSR00199"
IDG-04,15,15,"GBR00013, GBR00060, GBR00193, GBR00200, GBR00232, GBT00029, GCTTM00025, GCTTM00026, GFTT00124, GOR00083, GRY00010, GRY00028, GRY00057, GSLN00004, GSW00039"
VSG-01,15,15,"GA00006, GBR00033, GBR00190, GBT00075, GCNT00008, GCNT00010, GCTTM00025, GCTTM00026, GFTT00182, GHC00012, GMT00014, GOVL00002, GPS00002, GRY00009, GSW00060"
BLK-06,15,15,"GBR00034, GBR00069, GCNT00020, GFTT00183, GMNT00008, GMT00004, GOR00146, GPS00010, GPS00010-A, GSLN00067, GSR00045, GSR00104, GSR00118, GSW00015, GSW00026"
TNG-12,15,15,"GBT00008, GFMT00019, GFMT00021, GMNT00027, GMNT00033, GPS00001, GRY00014, GRY00016, GSCBIG00024, GSCBIG00025, GSLN00075, GSR00041, GSW00001, GSW00002, GSW00012"
BFD-29,15,15,"GBOX00004, GCNT00002, GCNT00023, GMNT00005, GMT00016, GMT00073, GOR00068, GOR00095, GPS00010, GPS00010-A, GPS00017, GSR00095, GSR00104, GSR00164, GVV00011"
MPA-17,15,15,"GBTR00007, GCNT00008, GCNT00010, GFMT00003, GFMT00004, GFUSE00009, GMNT00009, GOR00064, GRY00055, GRY00064, GSR00102, GSR00168, GSW00007, GSW00052, GSW00082"
SBT-03,14,14,"GB00003, GBR00010, GFTT00063, GMT00001, GMT00008, GMT00042, GOR00078, GPG00009, GRY00002, GRY00017, GRY00064, GSR00040, GSR00079, GSR00197"
SPF-02,14,14,"GB00008, GBK00018, GBK00044, GBR00004, GBR00005, GBTR00010, GCVT00020, GCVT00021, GMT00053, GSR00041, GSR00081, GSR00082, GSW00047, GSW00048"
EGM-01,14,14,"GAFT00004, GAFT00019, GBR00039, GBT00076, GBTR00001, GCOUP00001, GFMT00023, GMP00006, GRY00016, GSLN00019, GSLN00047, GSR00076, GSR00113, GSR00146"
IDG-10,14,14,"GBR00161, GBR00206, GBR00232, GBR00237, GBR00238, GBT00020, GBT00105, GBTR00005, GBTR00006, GBTR00012, GHC00004, GSR00042, GSR00051, GSVA00008"
OGM-04,14,14,"GBR00204, GBR00205, GBT00080, GBTR00001, GFMT00019, GFTT00052, GFTT00075, GHC00002, GMNT00009, GRY00021, GRY00022, GRY00044, GSLN00101, GSVA00018"
SWG-06,14,14,"GOR00042, GOR00048, GOR00054, GOR00077, GOR00082, GOR00087, GOR00133, GOR00151, GPP00031, GSLN00060, GSLN00061, GSLN00080, GSLN00082, GSR00029"
THB-03,14,14,"GBR00020, GBR00066, GBT00062, GBT00084, GBTR00023, GFTT00137, GMNT00005, GMNT00012, GMNT00016, GOVL00016, GOVL00029, GPP00033, GSR00007, GSR00079"
CPT-04,14,14,"GBR00087, GBR00090, GBR00186, GBT00150, GFTT00086, GFTT00088, GFTT00148, GHC00004, GMNT00036, GOVL00013, GRY00064, GSCBIG00028, GSR00060, GSR00065"
MLG-06,14,14,"GBR00100, GBR00109, GBR00110, GBR00208, GBR00236, GBR00246, GBR00293, GCNT00009, GCTTM00024, GDWG00059, GFTT00174, GRY00051, GRY00058, GSW00079"
CWM-01,14,14,"GBOX00007, GHEAT00004, GHEAT00005, GMNT00029, GOR00088, GOVL00032, GOVL00041, GSLN00012, GSR00023, GSR00096, GSR00098, GSR00110, GSR00126, GSR00151"
IFT-01,14,14,"GBR00007, GBTR00023, GCOUP00014, GDWG00023, GMNT00028, GPLC00004, GRY00004, GRY00041, GSR00039, GSR00040, GSR00054, GSR00070, GSR00121, GSR00122"
OGM-05,14,14,"GBOX00007, GBR00006, GBR00046, GBR00204, GBR00205, GBR00252, GBS00020, GBT00080, GSLN00019, GSLN00047, GSLN00081, GSR00079, GSR00084, GSR00131"
IDG-07,14,14,"GBR00025, GBTR00003, GBTR00014, GCTTM00025, GMNT00005, GMT00002, GMT00010, GOR00044, GOR00056, GOR00083, GOVL00005, GRY00051, GSLN00092, GSR00111"
RLS-03,14,14,"GBR00012, GBR00055, GBTR00012, GDWG00010, GPLC00004, GPS00007, GRY00005, GRY00008, GSLN00022, GSLN00054, GSR00115, GSR00118, GSW00083, GVV00018"
TRM-05,14,14,"GCNT00008, GCNT00010, GDWG00049, GFMT00002, GLA00019, GSW00015, GTRM00001, GTRM00002, GTRM00003, GTRM00004, GTRM00005, GTRM00006, GTRM00007, GTRM00008"
OGM-01,14,14,"GBR00118, GBR00204, GBR00205, GBR00252, GBS00020, GBT00060, GBT00080, GDWG00039, GMNT00001, GMT00032, GRY00016, GSCBIG00017, GSLN00019, GSLN00022"
SBT-05,13,13,"GB00003, GBS00051, GCTTM00025, GMT00001, GOR00046, GPS00007, GRY00004, GRY00008, GRY00058, GSLN00030, GSW00001, GSW00002, GSW00054"
MPA-08,13,13,"GAFT00023, GB00023, GBS00033, GFT00004, GFTT00063, GOVL00012, GSLN00004, GSLN00017, GSLN00084, GSLN00086, GSR00041, GSR00142, GSW00090"
SBT-04,13,13,"GB00028, GFMT00004, GFUSE00009, GMNT00028, GOR00016, GOR00030, GOR00040, GOVL00045, GRY00002, GSLN00030, GSR00039, GSR00049, GSW00001"
CHK-13,13,13,"GB00028, GBR00018, GBR00090, GBR00160, GBS00008, GBS00009, GFTT00167, GMNT00026, GOR00016, GSCBIG00017, GSR00060, GSR00123, GSW00011"
STN-05,13,13,"GBR00123, GBR00230, GBS00058, GBTR00010, GLA00022, GMNT00018, GMNT00031, GOVL00024, GOVL00045, GPP00029, GSLN00036, GSW00024, GSW00078"
HTM-07,13,13,"GFTT00029, GFTT00031, GFTT00095, GFTT00112, GSCBIG00022, GSCBIG00031, GSLN00024, GSLN00033, GSR00014, GSR00054, GSR00078, GSR00112, GSR00121"
OGM-02,13,13,"GAFT00004, GBR00006, GBR00204, GBR00205, GBT00080, GDWG00018, GFTT00051, GPG00005, GRY00016, GSLN00019, GSLN00047, GSLN00081, GSR00121"
MPA-07,13,13,"GAFT00026, GBS00024, GBS00032, GFANUC00002, GFMT00019, GFTT00077, GOVL00003, GOVL00007, GSLN00017, GSLN00086, GSR00009, GSR00011, GSW00041"
BFD-10,13,13,"GAFT00015, GBR00031-A, GFMT00016, GFT00006, GMNT00001, GMNT00002, GMT00016, GRY00050, GSLN00096, GSR00040, GSR00041, GSR00104, GVV00011"
THB-LINE,13,13,"GBR00153, GCTTM00031, GHC00001, GHC00005, GHC00008, GMT00024, GRY00041, GRY00053, GSR00046, GSR00109, GSW00079, GVV00018, GVV00019"
IDG-02,13,13,"GBR00087, GBR00193, GBR00199, GBR00200, GBR00218, GBR00232, GBR00238, GBT00020, GBTR00005, GBTR00006, GBTR00014, GPG00021, GRY00028"
